sample_index,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid,source_path,source_size_bytes,received_at
0,24855,-539,202,4511,-576,197,167,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
1,24856,-1178,492,3616,-561,46,270,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
2,24858,-715,459,3424,-840,-207,228,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
3,24860,-591,577,3489,-816,-82,124,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
4,24862,-719,568,3613,-731,23,57,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
5,24864,-773,446,3694,-629,45,47,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
6,24866,-760,385,3753,-565,53,44,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
7,24868,-751,387,3788,-526,61,38,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
8,24870,-725,417,3765,-479,68,20,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
9,24872,-666,427,3751,-431,91,-7,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
10,24874,-622,431,3767,-381,129,-36,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
11,24876,-607,432,3794,-331,170,-61,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
12,24878,-617,426,3835,-283,204,-80,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
13,24880,-619,431,3860,-236,224,-93,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
14,24882,-611,434,3878,-193,235,-106,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
15,24884,-616,440,3898,-150,250,-121,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
16,24886,-620,449,3911,-109,269,-136,-111.24333190917969,-196.13400268554688,-53.727333068847656,-601.670654296875,119.5373306274414,3805.360107421875,True,/last_run.bin,171900,2026-05-20T02:02:40
