sample_index,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid,source_path,source_size_bytes,received_at
0,1855560,2768,1588,2237,-407,-155,-23,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
1,1855561,2768,1588,2237,-407,-155,-23,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
2,1855563,2835,1572,2201,-383,-157,-10,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
3,1855565,2898,1568,2185,-369,-156,-1,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
4,1855567,2942,1573,2165,-363,-154,6,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
5,1855569,2958,1560,2163,-362,-149,8,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
6,1855571,2968,1554,2172,-363,-141,8,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
7,1855573,2970,1552,2185,-365,-135,9,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
8,1855575,2971,1551,2176,-368,-132,11,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
9,1855577,2963,1547,2184,-373,-130,13,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
10,1855579,2950,1547,2182,-376,-132,13,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
11,1855581,2950,1548,2167,-382,-137,16,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
12,1855583,2948,1557,2157,-390,-140,18,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
13,1855585,2947,1556,2170,-399,-141,18,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
14,1855587,2949,1555,2179,-409,-144,19,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
15,1855589,2963,1556,2186,-416,-145,18,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
16,1855591,2964,1549,2199,-420,-144,19,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
17,1855593,2971,1544,2196,-423,-145,20,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
18,1855595,2977,1549,2175,-423,-145,20,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
19,1855597,2996,1554,2155,-426,-142,22,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
20,1855599,3003,1560,2150,-431,-137,21,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
21,1855601,2994,1559,2154,-434,-132,19,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
22,1855603,2983,1559,2150,-438,-125,20,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
23,1855605,2979,1555,2160,-442,-122,20,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
24,1855607,2970,1562,2166,-443,-118,18,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
25,1855609,2972,1554,2181,-445,-116,19,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
26,1855611,2976,1554,2183,-447,-115,19,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
27,1855613,2983,1552,2187,-447,-112,18,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
28,1855615,2980,1550,2199,-447,-109,17,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
29,1855617,2976,1546,2195,-447,-107,16,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
30,1855619,2978,1555,2200,-443,-106,13,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
31,1855621,2981,1562,2195,-439,-103,12,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
32,1855623,2986,1561,2205,-435,-101,14,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
33,1855625,2987,1558,2220,-429,-97,14,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
34,1855627,2990,1549,2228,-418,-95,13,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
35,1855629,3006,1545,2212,-408,-93,9,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
36,1855631,3009,1542,2202,-400,-87,4,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
37,1855633,2998,1537,2202,-393,-80,0,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
38,1855635,2984,1533,2212,-385,-73,-6,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
39,1855637,2983,1531,2211,-373,-71,-10,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
40,1855639,2986,1524,2217,-364,-69,-12,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
41,1855641,2990,1517,2230,-353,-66,-15,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
42,1855643,2989,1513,2240,-343,-68,-17,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
43,1855645,2981,1524,2233,-335,-69,-20,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
44,1855647,2976,1529,2227,-326,-71,-22,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
45,1855649,2978,1527,2225,-319,-75,-23,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
46,1855651,2978,1535,2237,-310,-78,-23,-114.767333984375,51.38199996948242,-66.75267028808594,2995.926025390625,1699.7933349609375,2056.464111328125,True,/last_run.bin,169116,2026-05-21T16:39:25
