sample_index,t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid,source_path,source_size_bytes,received_at
0,88776,1554,-223,3567,-214,-455,-48,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
1,88777,1573,-188,3637,-214,-425,-50,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
2,88779,1572,-166,3668,-229,-416,-53,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
3,88781,1585,-150,3625,-237,-402,-58,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
4,88783,1576,-158,3613,-236,-384,-56,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
5,88785,1560,-141,3646,-232,-368,-58,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
6,88787,1569,-132,3657,-233,-359,-63,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
7,88789,1585,-128,3654,-230,-344,-65,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
8,88791,1601,-142,3647,-226,-321,-67,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
9,88793,1596,-149,3661,-224,-295,-67,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
10,88795,1599,-159,3662,-223,-277,-65,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
11,88797,1607,-156,3662,-220,-253,-63,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
12,88799,1620,-163,3672,-218,-225,-64,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
13,88801,1626,-172,3664,-216,-196,-64,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
14,88803,1626,-177,3656,-212,-167,-63,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
15,88805,1626,-178,3645,-208,-140,-64,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
16,88807,1621,-181,3638,-202,-115,-63,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
17,88809,1625,-190,3633,-197,-93,-60,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
18,88811,1640,-216,3626,-186,-69,-57,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
19,88813,1657,-237,3603,-173,-46,-54,-148.60533142089844,64.93533325195312,-42.68866729736328,1385.2779541015625,-168.4893341064453,3680.7041015625,True,/last_run.bin,297276,2026-05-21T15:18:19
