t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
139535,1471,-1212,3483,-131,57,-55
139536,1471,-1212,3483,-131,57,-55
139538,1460,-1216,3499,-126,67,-60
139540,1456,-1207,3517,-124,72,-61
139542,1451,-1197,3535,-125,73,-62
139544,1452,-1188,3565,-130,65,-60
139546,1451,-1181,3589,-137,48,-56
139548,1440,-1191,3602,-147,26,-52
139550,1437,-1202,3594,-157,0,-48
139552,1435,-1200,3574,-166,-27,-46
139554,1435,-1195,3552,-172,-50,-48
139556,1448,-1195,3495,-176,-65,-49
139559,1449,-1201,3439,-174,-68,-50
139560,1453,-1198,3376,-170,-54,-50
139562,1450,-1188,3342,-163,-32,-53
139564,1451,-1190,3339,-154,-2,-53
139566,1446,-1193,3345,-145,28,-53
139568,1440,-1197,3392,-135,58,-56
139570,1437,-1184,3442,-128,75,-57
139572,1432,-1179,3487,-127,80,-56
139574,1431,-1189,3508,-127,74,-56
139576,1427,-1192,3532,-133,61,-56
139578,1424,-1187,3545,-139,43,-57
139580,1425,-1177,3539,-145,21,-56
139582,1428,-1173,3520,-151,1,-52
139584,1426,-1173,3494,-155,-14,-50
139586,1431,-1175,3467,-158,-21,-50
139588,1438,-1175,3443,-160,-22,-50
139590,1441,-1170,3430,-159,-19,-48
139592,1445,-1186,3414,-156,-9,-46
139594,1444,-1194,3406,-151,5,-48
139596,1447,-1195,3420,-146,23,-49
139598,1446,-1198,3431,-140,39,-50
139600,1452,-1203,3438,-133,53,-52
139602,1455,-1199,3458,-128,65,-56
139604,1449,-1189,3484,-125,71,-60
139606,1448,-1184,3502,-124,73,-59
139608,1448,-1187,3532,-127,68,-56
139610,1450,-1188,3555,-129,61,-55
139612,1449,-1195,3582,-136,48,-52
139614,1451,-1194,3590,-144,29,-49
139616,1443,-1205,3584,-152,7,-48
139618,1448,-1217,3559,-158,-12,-49
139620,1450,-1218,3528,-161,-24,-52
139622,1453,-1205,3492,-165,-32,-53
139624,1458,-1207,3464,-164,-30,-52
139626,1466,-1207,3441,-156,-19,-51
139628,1465,-1196,3429,-150,-3,-55
139630,1471,-1198,3439,-144,17,-54
139632,1468,-1201,3452,-140,36,-52
139634,1461,-1206,3473,-133,51,-52
139636,1447,-1206,3504,-132,60,-53
139638,1439,-1201,3542,-134,58,-54
139640,1445,-1187,3562,-135,50,-54
139642,1441,-1183,3559,-140,35,-56
139644,1443,-1188,3559,-145,18,-58
139646,1450,-1181,3547,-153,0,-57
139648,1443,-1179,3521,-158,-14,-54
139650,1444,-1190,3506,-162,-24,-50
139652,1448,-1193,3483,-165,-28,-48
139654,1438,-1189,3453,-165,-27,-50
139656,1447,-1180,3442,-163,-21,-50
139658,1454,-1189,3422,-158,-14,-48
139660,1454,-1192,3412,-154,-2,-51
139662,1454,-1187,3407,-146,12,-53
139664,1453,-1177,3400,-143,27,-53
139666,1452,-1181,3416,-137,43,-55
139668,1450,-1179,3456,-134,54,-57
139670,1448,-1184,3479,-130,60,-57
139672,1439,-1183,3495,-130,59,-57
