t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
41693,-264,-1814,3542,-166,19,-55
41694,-270,-1815,3533,-154,19,-55
41696,-273,-1812,3531,-139,18,-54
41698,-274,-1805,3548,-133,17,-52
41700,-267,-1797,3541,-145,15,-57
41702,-260,-1797,3527,-165,12,-63
41704,-255,-1803,3498,-171,10,-65
41706,-251,-1806,3478,-158,9,-62
41708,-256,-1790,3477,-140,11,-57
41710,-267,-1775,3486,-135,11,-55
41712,-261,-1780,3493,-146,8,-59
41714,-258,-1775,3472,-163,7,-62
41716,-242,-1774,3450,-167,8,-64
41718,-244,-1775,3431,-158,8,-63
41720,-248,-1761,3430,-147,8,-58
41722,-243,-1754,3446,-142,10,-55
41724,-246,-1747,3433,-147,13,-56
41726,-252,-1738,3428,-159,14,-59
41728,-254,-1741,3413,-165,14,-62
41730,-257,-1752,3401,-156,14,-61
41732,-259,-1752,3402,-138,17,-57
41734,-251,-1736,3402,-128,18,-54
41736,-250,-1731,3406,-137,17,-54
41738,-245,-1740,3402,-154,18,-56
41740,-247,-1749,3393,-158,19,-56
41742,-250,-1757,3395,-149,20,-54
41744,-245,-1751,3405,-134,20,-50
41746,-250,-1751,3434,-124,22,-47
41748,-254,-1753,3452,-130,25,-49
41750,-248,-1757,3451,-142,27,-51
41752,-247,-1758,3452,-149,27,-55
41754,-252,-1770,3456,-146,29,-55
41756,-252,-1776,3462,-135,31,-53
41758,-256,-1782,3479,-123,32,-49
41760,-254,-1789,3501,-125,31,-49
41762,-255,-1793,3507,-138,28,-51
41764,-256,-1800,3496,-148,28,-54
41766,-254,-1809,3491,-147,27,-53
41768,-257,-1811,3501,-136,26,-50
41770,-260,-1797,3522,-131,25,-50
41772,-267,-1799,3545,-131,25,-50
41774,-275,-1805,3553,-139,22,-50
41776,-278,-1813,3541,-148,20,-51
41778,-275,-1815,3538,-150,20,-53
41780,-268,-1825,3535,-145,21,-52
41782,-268,-1813,3545,-137,21,-50
41784,-261,-1804,3554,-136,18,-52
41786,-262,-1797,3558,-144,17,-53
41788,-260,-1807,3545,-157,17,-58
41790,-263,-1810,3519,-161,16,-59
41792,-260,-1801,3515,-151,15,-58
41794,-256,-1792,3520,-140,16,-57
41796,-257,-1793,3527,-140,15,-57
41798,-261,-1792,3529,-150,15,-58
41800,-263,-1785,3500,-158,15,-58
41802,-260,-1779,3470,-164,13,-62
41804,-255,-1775,3461,-160,12,-62
41806,-257,-1774,3450,-145,13,-60
41808,-263,-1763,3461,-135,13,-57
41810,-274,-1760,3465,-138,14,-56
41812,-274,-1760,3459,-156,10,-59
41814,-264,-1769,3444,-167,9,-63
41816,-265,-1771,3424,-162,13,-62
41818,-258,-1755,3418,-146,15,-59
41820,-256,-1744,3437,-134,14,-55
41822,-249,-1729,3452,-140,14,-54
41824,-254,-1733,3442,-153,16,-56
41826,-257,-1735,3426,-163,20,-56
41828,-252,-1742,3409,-161,20,-55
41830,-245,-1738,3406,-145,20,-51
41832,-247,-1735,3436,-128,22,-49
41834,-254,-1731,3460,-127,23,-48
41836,-257,-1741,3453,-147,23,-53
41838,-250,-1757,3428,-164,25,-59
41840,-246,-1761,3421,-157,28,-59
41842,-249,-1760,3431,-133,28,-51
41844,-261,-1757,3452,-117,29,-45
41846,-271,-1753,3475,-119,29,-47
41848,-260,-1766,3475,-142,29,-51
41850,-257,-1781,3451,-160,29,-57
41852,-254,-1788,3448,-157,29,-57
41854,-254,-1792,3479,-133,29,-51
41856,-257,-1783,3510,-115,28,-47
41858,-266,-1777,3536,-117,29,-45
41860,-275,-1778,3536,-140,27,-49
41862,-268,-1789,3514,-164,26,-55
41864,-264,-1810,3493,-162,25,-56
41866,-267,-1818,3514,-135,24,-52
41868,-274,-1803,3558,-111,23,-49
41870,-273,-1789,3585,-117,22,-49
41872,-269,-1800,3556,-148,21,-54
41874,-269,-1810,3526,-171,21,-60
41876,-267,-1810,3503,-168,18,-60
41878,-273,-1805,3502,-144,14,-55
41880,-274,-1799,3540,-124,15,-49
41882,-272,-1787,3555,-128,15,-50
41884,-267,-1791,3538,-155,14,-57
41886,-263,-1795,3497,-178,15,-64
41888,-256,-1797,3464,-175,14,-63
41890,-255,-1795,3471,-145,13,-58
