t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
103713,1716,598,3484,-147,16,-53
103714,1716,598,3484,-147,16,-53
103716,1722,597,3487,-147,17,-52
103718,1720,587,3478,-148,17,-53
103720,1714,592,3481,-149,20,-55
103722,1718,589,3489,-148,19,-55
103724,1726,596,3480,-148,18,-54
103726,1718,602,3473,-146,18,-53
103728,1715,596,3469,-146,20,-55
103730,1713,587,3460,-147,22,-56
103732,1710,588,3471,-147,22,-54
103734,1719,589,3477,-147,22,-53
103736,1726,598,3477,-148,23,-52
103738,1723,598,3487,-149,23,-53
103740,1716,602,3489,-148,21,-54
103742,1712,601,3488,-147,21,-54
103744,1713,600,3492,-148,22,-53
103746,1711,597,3480,-146,20,-54
103748,1715,598,3478,-146,20,-56
103750,1715,598,3482,-147,18,-57
103752,1717,593,3476,-148,18,-57
103754,1714,602,3478,-147,18,-56
103756,1715,606,3484,-145,17,-57
103758,1713,600,3466,-144,17,-57
103760,1718,608,3458,-145,17,-55
103762,1714,608,3465,-145,17,-55
103764,1716,602,3471,-149,17,-55
103766,1713,590,3470,-150,18,-54
103768,1716,591,3469,-150,20,-54
103770,1717,594,3464,-149,23,-53
103772,1723,598,3473,-149,24,-54
103774,1720,601,3480,-149,25,-55
103776,1712,597,3486,-149,24,-57
103778,1700,591,3487,-148,23,-55
103780,1704,584,3479,-146,22,-53
103782,1705,587,3482,-147,20,-54
103784,1708,591,3478,-148,19,-56
103786,1714,589,3480,-149,21,-57
103788,1714,594,3481,-150,21,-57
103790,1724,603,3480,-149,19,-56
103792,1723,593,3482,-148,17,-55
103794,1721,597,3480,-148,15,-54
103796,1713,602,3484,-146,14,-54
103798,1708,603,3488,-145,15,-54
103800,1718,600,3492,-147,17,-53
103802,1726,599,3494,-148,18,-53
103804,1717,600,3489,-147,18,-53
103806,1714,598,3483,-148,18,-54
103808,1702,600,3475,-149,19,-53
103810,1702,608,3475,-150,20,-53
103812,1708,602,3467,-150,21,-52
103814,1704,603,3462,-150,22,-52
103816,1705,601,3464,-148,22,-53
103818,1701,596,3464,-149,21,-54
103820,1702,602,3473,-150,22,-54
103822,1705,603,3472,-149,21,-54
103824,1712,604,3476,-147,19,-54
103826,1719,605,3474,-146,18,-54
103828,1722,601,3477,-147,16,-55
103830,1715,600,3478,-145,16,-56
103832,1705,599,3477,-144,17,-56
103834,1703,594,3477,-145,16,-55
103836,1702,593,3482,-145,18,-56
103838,1701,592,3479,-145,19,-55
103840,1705,596,3474,-146,19,-55
103842,1709,597,3482,-149,20,-54
103844,1715,595,3477,-149,21,-54
103846,1722,592,3488,-147,22,-53
103848,1714,595,3488,-148,21,-53
103850,1712,595,3479,-148,21,-54
103852,1718,602,3482,-145,21,-55
103854,1715,597,3490,-144,22,-55
103856,1703,594,3489,-145,21,-54
103858,1714,598,3481,-146,20,-54
103860,1722,598,3466,-145,19,-54
103862,1720,596,3467,-146,18,-53
103864,1715,598,3460,-147,18,-54
103866,1712,595,3459,-145,20,-54
103868,1713,599,3459,-146,19,-54
103870,1710,608,3475,-147,20,-55
103872,1706,615,3475,-147,21,-55
103874,1710,615,3471,-147,22,-55
103876,1713,613,3470,-147,20,-55
103878,1713,604,3471,-147,21,-55
103880,1713,597,3467,-146,24,-54
103882,1710,600,3463,-147,23,-54
103884,1705,596,3478,-148,24,-54
103886,1706,604,3481,-149,24,-54
103888,1707,606,3481,-148,22,-55
103890,1706,606,3482,-148,21,-55
103892,1700,606,3472,-147,20,-54
103894,1700,605,3480,-145,22,-53
103896,1694,603,3484,-146,20,-54
103898,1692,600,3502,-146,18,-52
103900,1705,606,3492,-145,15,-52
103902,1712,598,3481,-144,15,-54
103904,1711,598,3487,-145,15,-55
103906,1719,599,3481,-144,17,-55
103908,1715,605,3486,-142,16,-55
103910,1707,606,3475,-144,16,-56
103912,1708,595,3460,-146,18,-57
103914,1704,594,3456,-147,21,-57
103916,1697,601,3470,-149,23,-57
103918,1699,607,3477,-147,24,-57
103920,1704,605,3471,-147,24,-57
103922,1708,606,3480,-147,23,-56
103924,1710,604,3483,-146,22,-55
103926,1715,601,3489,-146,21,-54
103928,1711,595,3494,-147,19,-55
103930,1710,599,3486,-147,19,-54
103932,1711,603,3489,-146,17,-53
103934,1719,605,3480,-146,14,-53
103936,1730,612,3481,-146,17,-53
103938,1716,601,3478,-146,17,-54
103940,1709,606,3479,-145,17,-55
103942,1708,606,3487,-146,19,-55
103944,1719,603,3483,-147,20,-56
103946,1721,601,3487,-148,20,-55
103948,1710,603,3478,-147,19,-56
103950,1708,602,3468,-146,21,-56
103952,1708,595,3475,-145,23,-56
103954,1710,597,3472,-145,23,-57
103956,1714,593,3476,-145,23,-56
103958,1714,596,3479,-147,22,-54
103960,1717,596,3481,-147,21,-54
103962,1716,598,3489,-147,22,-54
103964,1704,590,3493,-146,21,-55
103966,1704,595,3495,-147,20,-55
103968,1712,598,3488,-146,19,-54
103970,1712,593,3488,-145,19,-54
103972,1714,600,3488,-145,18,-56
103974,1709,606,3477,-145,18,-54
103976,1705,599,3474,-146,17,-54
103978,1709,595,3468,-147,16,-55
103980,1710,588,3473,-145,17,-53
103982,1705,592,3475,-146,18,-53
103984,1711,595,3468,-148,18,-55
103986,1715,595,3463,-148,19,-55
103988,1708,590,3467,-145,20,-54
103990,1707,599,3473,-146,20,-53
103992,1714,602,3483,-147,19,-53
103994,1721,602,3489,-147,21,-54
103996,1721,604,3475,-148,19,-53
103998,1719,609,3466,-149,19,-53
104000,1714,605,3465,-149,20,-54
104002,1706,604,3471,-148,19,-54
104004,1703,598,3475,-146,17,-55
104006,1701,601,3481,-146,17,-55
104008,1701,605,3489,-147,18,-54
104010,1705,607,3487,-147,17,-54
104012,1711,607,3480,-146,17,-55
104014,1711,607,3464,-145,16,-55
104016,1709,609,3472,-145,16,-55
104018,1706,606,3482,-146,18,-55
104020,1704,610,3472,-147,20,-54
104022,1709,609,3469,-148,19,-55
104024,1710,614,3470,-150,20,-55
104026,1709,612,3478,-150,21,-56
104028,1710,609,3475,-148,19,-56
104030,1707,609,3475,-149,19,-54
104032,1707,610,3479,-149,18,-53
104034,1709,603,3470,-148,20,-54
104036,1711,606,3475,-148,20,-55
104038,1719,604,3481,-149,20,-53
104040,1722,611,3482,-148,20,-53
104042,1721,606,3486,-147,19,-55
104044,1717,606,3476,-148,17,-54
104046,1716,600,3478,-147,17,-55
104048,1715,601,3471,-145,16,-55
104050,1712,606,3456,-144,17,-53
104056,1717,602,3464,-146,17,-55
104056,1717,602,3464,-146,17,-55
104057,1712,607,3474,-145,18,-55
104058,1712,607,3474,-145,18,-55
104060,1704,601,3482,-145,20,-56
104062,1706,603,3472,-146,20,-54
104064,1709,598,3471,-145,22,-53
104066,1710,599,3471,-146,23,-52
104068,1717,605,3473,-149,23,-52
104070,1720,606,3476,-150,23,-53
104072,1721,600,3479,-151,21,-54
104074,1723,598,3479,-150,20,-55
104076,1721,602,3483,-148,18,-55
104078,1716,603,3481,-147,17,-53
104080,1717,593,3481,-146,16,-54
104082,1711,595,3468,-147,15,-55
104084,1713,599,3468,-146,18,-55
104086,1715,607,3467,-145,20,-55
104088,1714,611,3470,-147,20,-55
104090,1712,605,3459,-147,19,-55
104092,1711,599,3474,-146,19,-53
104094,1714,598,3484,-147,19,-52
104096,1707,599,3473,-147,20,-55
104098,1704,590,3469,-147,20,-55
104100,1701,589,3470,-147,21,-56
104102,1707,595,3473,-147,22,-54
104104,1711,599,3485,-148,23,-55
104106,1713,601,3483,-149,23,-55
104108,1707,602,3470,-148,21,-54
104110,1704,605,3476,-149,21,-53
104112,1707,603,3482,-148,21,-54
104114,1704,600,3481,-148,22,-54
104116,1706,596,3480,-149,21,-55
104118,1706,590,3480,-148,21,-54
104120,1701,587,3482,-147,20,-54
104122,1699,586,3480,-148,21,-54
104124,1703,597,3493,-148,20,-53
104126,1714,589,3492,-146,19,-53
104128,1720,591,3499,-145,18,-54
104130,1722,588,3488,-146,17,-54
104132,1715,588,3485,-144,18,-55
104134,1712,588,3480,-145,18,-55
104136,1713,593,3479,-148,20,-55
104138,1719,598,3467,-149,21,-55
104140,1721,601,3467,-148,20,-54
104142,1725,609,3468,-147,23,-54
104144,1723,610,3460,-147,21,-54
104146,1714,601,3470,-148,19,-53
104148,1714,599,3476,-149,19,-52
104150,1719,604,3470,-148,18,-54
104152,1712,594,3472,-148,17,-55
104154,1708,600,3468,-148,17,-55
104156,1710,608,3467,-148,18,-54
104158,1708,612,3467,-148,17,-54
104160,1718,609,3466,-145,18,-53
104162,1721,604,3466,-147,19,-53
104164,1715,606,3465,-146,20,-54
104166,1712,602,3461,-145,21,-53
104168,1716,599,3467,-147,22,-53
104170,1714,601,3472,-149,21,-54
104172,1712,595,3481,-148,21,-54
104174,1712,594,3487,-148,21,-54
104176,1712,595,3487,-146,22,-54
104178,1713,592,3481,-147,21,-54
104180,1708,591,3469,-148,23,-53
104182,1706,592,3469,-149,21,-53
104184,1707,597,3469,-148,20,-53
104186,1714,597,3468,-148,20,-53
104188,1717,598,3473,-148,21,-53
104190,1723,595,3467,-148,20,-54
104192,1711,595,3465,-145,19,-54
104194,1709,589,3477,-145,18,-54
104196,1711,588,3470,-146,17,-54
104198,1709,596,3467,-145,17,-54
104200,1711,597,3482,-145,19,-54
104202,1715,600,3476,-145,19,-53
104204,1711,605,3475,-147,19,-54
104206,1708,610,3477,-146,20,-54
104208,1705,611,3476,-146,21,-56
104210,1709,595,3472,-147,18,-56
104212,1709,598,3474,-147,18,-55
104214,1712,599,3479,-147,18,-54
104216,1714,602,3481,-147,18,-54
104218,1712,605,3470,-146,17,-55
104220,1711,602,3473,-144,19,-54
104222,1716,598,3473,-145,19,-54
104224,1718,605,3482,-147,19,-54
104226,1719,610,3472,-148,17,-54
104228,1721,604,3465,-148,19,-54
104230,1721,604,3465,-148,19,-54
104232,1719,595,3494,-147,19,-54
104234,1720,596,3484,-148,20,-53
104236,1717,591,3470,-148,20,-53
104238,1718,588,3467,-147,20,-54
104240,1710,593,3473,-146,19,-54
104242,1704,590,3480,-146,18,-53
104244,1702,597,3475,-146,17,-53
104246,1698,596,3465,-145,16,-54
104248,1703,599,3459,-145,18,-55
104250,1707,603,3465,-146,18,-57
104252,1710,608,3471,-146,19,-56
104254,1713,608,3473,-146,21,-54
104256,1708,607,3481,-146,22,-55
104258,1713,606,3469,-145,20,-56
104260,1712,609,3460,-144,19,-55
104262,1709,597,3468,-145,18,-55
104264,1714,598,3483,-147,19,-56
104266,1721,600,3479,-148,19,-55
104268,1719,604,3477,-149,19,-55
104270,1713,604,3477,-148,18,-55
104272,1714,610,3478,-149,20,-54
104274,1719,613,3483,-149,20,-54
104276,1715,610,3485,-149,21,-54
104278,1709,605,3496,-148,22,-53
104280,1714,606,3492,-148,21,-52
104282,1717,601,3480,-147,22,-52
104284,1707,596,3472,-146,21,-54
104286,1717,595,3476,-145,20,-55
104288,1715,602,3482,-145,19,-54
104290,1714,605,3489,-145,19,-54
104292,1719,607,3484,-145,18,-55
104294,1728,599,3484,-146,17,-55
104296,1730,602,3475,-147,16,-53
104298,1724,611,3476,-146,15,-53
104300,1724,606,3460,-146,17,-53
104302,1721,609,3450,-147,18,-52
104304,1718,610,3463,-147,19,-53
104306,1712,606,3464,-147,20,-55
104308,1709,609,3468,-147,19,-55
104310,1707,613,3478,-146,18,-55
104366,1710,603,3479,-146,18,-52
104367,1710,603,3479,-146,18,-52
104367,1710,603,3479,-146,18,-52
104368,1710,603,3479,-146,18,-52
104368,1710,596,3483,-148,18,-53
104369,1710,596,3483,-148,18,-53
104369,1710,596,3483,-148,18,-53
104370,1710,596,3483,-148,18,-53
104370,1703,593,3478,-149,18,-54
104371,1703,593,3478,-149,18,-54
104371,1703,593,3478,-149,18,-54
104372,1703,593,3478,-149,18,-54
104372,1702,597,3484,-149,17,-55
104373,1702,597,3484,-149,17,-55
104373,1702,597,3484,-149,17,-55
104374,1702,597,3484,-149,17,-55
104374,1707,596,3471,-148,17,-55
104375,1707,596,3471,-148,17,-55
104375,1707,596,3471,-148,17,-55
104375,1707,596,3471,-148,17,-55
104376,1711,602,3469,-149,19,-55
104376,1711,602,3469,-149,19,-55
104377,1711,602,3469,-149,19,-55
104377,1711,602,3469,-149,19,-55
104378,1715,604,3481,-148,21,-56
104378,1715,604,3481,-148,21,-56
104379,1715,604,3481,-148,21,-56
104379,1715,604,3481,-148,21,-56
104380,1715,604,3481,-148,21,-56
104380,1710,610,3471,-149,22,-55
104381,1710,610,3471,-149,22,-55
104381,1710,610,3471,-149,22,-55
104382,1710,610,3471,-149,22,-55
104382,1709,608,3466,-148,22,-54
104383,1709,608,3466,-148,22,-54
104383,1709,608,3466,-148,22,-54
104384,1709,601,3472,-148,19,-55
104386,1711,607,3478,-147,17,-54
104388,1705,609,3472,-147,19,-53
104390,1702,604,3467,-146,18,-55
104392,1710,604,3474,-146,17,-55
104394,1710,611,3469,-146,17,-54
104396,1702,602,3472,-146,16,-54
104398,1708,608,3466,-146,16,-54
104400,1709,616,3466,-148,18,-54
104402,1710,611,3468,-149,19,-53
104404,1709,610,3466,-146,20,-55
104406,1705,608,3463,-146,22,-54
104408,1709,603,3467,-145,21,-54
104410,1715,597,3473,-146,20,-54
104412,1720,597,3481,-145,19,-55
104414,1717,602,3480,-147,19,-54
104416,1712,595,3477,-147,21,-53
104418,1708,589,3484,-147,21,-53
104420,1708,592,3482,-147,22,-54
104422,1713,595,3464,-148,21,-55
104424,1723,597,3463,-148,19,-55
104426,1720,600,3465,-149,17,-53
104428,1711,596,3462,-149,16,-53
104430,1711,598,3466,-147,18,-54
104432,1717,596,3466,-146,19,-54
104434,1718,597,3461,-145,19,-54
104436,1716,591,3474,-145,20,-53
104438,1715,594,3477,-147,19,-53
104440,1715,593,3479,-147,19,-54
104442,1717,597,3493,-146,18,-55
104444,1719,602,3488,-146,19,-55
104446,1717,597,3480,-145,19,-55
104448,1715,594,3472,-145,20,-56
104450,1712,597,3473,-146,21,-55
104452,1708,596,3470,-147,21,-57
104454,1703,599,3469,-146,21,-56
104456,1713,596,3459,-148,20,-56
104458,1715,597,3464,-147,19,-57
