t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0,2027,-462,3424,-355,-358,-36
2,1975,-495,3440,-352,-361,-40
4,1979,-497,3453,-354,-358,-35
6,2031,-478,3424,-350,-362,-32
8,2018,-472,3422,-352,-362,-39
10,2000,-480,3403,-341,-361,-32
12,2025,-461,3428,-341,-363,-36
14,2002,-463,3453,-351,-356,-40
16,1999,-469,3416,-348,-366,-33
18,1985,-497,3411,-347,-357,-32
20,1995,-470,3453,-357,-364,-36
22,2010,-483,3406,-350,-359,-31
24,2039,-493,3445,-348,-362,-37
26,1992,-466,3432,-352,-358,-31
28,2011,-499,3446,-348,-358,-38
30,1991,-487,3455,-353,-369,-34
32,1976,-495,3449,-343,-370,-36
34,2013,-486,3448,-359,-365,-37
36,1973,-472,3406,-359,-363,-33
38,1982,-496,3453,-360,-360,-35
40,2023,-484,3444,-360,-361,-39
42,1993,-489,3458,-342,-358,-39
44,2013,-473,3440,-351,-366,-32
46,2000,-500,3400,-360,-362,-31
48,1972,-473,3442,-358,-366,-32
50,1980,-493,3401,-349,-367,-36
52,2006,-484,3413,-348,-360,-34
54,1996,-468,3459,-357,-367,-38
56,2016,-478,3422,-348,-368,-33
58,1996,-486,3429,-359,-366,-37
60,1961,-471,3454,-348,-360,-32
62,1964,-493,3441,-342,-356,-38
64,2035,-464,3415,-349,-367,-32
66,2005,-491,3406,-360,-356,-32
68,2038,-474,3446,-350,-367,-35
70,1981,-463,3430,-347,-362,-39
72,1991,-491,3427,-355,-369,-36
74,2012,-483,3425,-345,-366,-36
76,2029,-496,3451,-341,-363,-37
78,2009,-478,3407,-343,-357,-31
80,2011,-478,3421,-358,-356,-33
82,1986,-469,3439,-347,-362,-34
84,2016,-463,3416,-349,-364,-34
86,1995,-461,3430,-354,-362,-33
88,1977,-476,3428,-354,-365,-31
90,1988,-465,3404,-359,-356,-34
92,2019,-490,3432,-353,-358,-33
94,2020,-461,3436,-344,-369,-40
96,2002,-465,3413,-356,-367,-39
98,2017,-477,3433,-344,-369,-31
100,1968,-473,3405,-344,-356,-34
102,2017,-493,3411,-345,-363,-37
104,2008,-476,3445,-343,-360,-38
106,1968,-461,3442,-345,-356,-37
108,1986,-480,3423,-357,-365,-35
110,2030,-499,3418,-357,-364,-39
112,2032,-481,3402,-348,-362,-34
114,1965,-477,3451,-355,-356,-38
116,1962,-479,3440,-358,-360,-31
118,1989,-484,3409,-343,-369,-34
120,1981,-500,3406,-359,-364,-31
122,1989,-467,3432,-357,-367,-39
124,1998,-499,3433,-344,-363,-32
126,1974,-481,3405,-343,-358,-39
128,2033,-469,3416,-353,-370,-31
130,2006,-471,3412,-341,-362,-34
132,1993,-469,3446,-356,-360,-31
134,2007,-498,3455,-352,-368,-35
136,2002,-466,3416,-345,-358,-34
138,1970,-483,3455,-341,-362,-35
140,2022,-482,3435,-346,-366,-39
142,1991,-481,3411,-357,-359,-36
144,1986,-473,3437,-355,-360,-38
146,1975,-492,3402,-348,-361,-33
148,1998,-477,3446,-360,-365,-35
150,1992,-481,3402,-356,-366,-34
152,1992,-497,3418,-349,-364,-37
154,1969,-481,3417,-354,-369,-33
156,2030,-480,3449,-355,-360,-38
158,1997,-469,3416,-346,-358,-33
160,2021,-466,3413,-359,-365,-36
162,1964,-463,3449,-351,-368,-40
164,2023,-479,3416,-358,-366,-39
166,1986,-498,3409,-354,-357,-40
168,2030,-464,3445,-343,-366,-36
170,1963,-475,3455,-357,-367,-40
172,2026,-479,3404,-348,-367,-39
174,2001,-490,3439,-341,-362,-32
