t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
88153,1445,-1197,3537,-146,24,-51
88154,1454,-1196,3534,-148,14,-52
88156,1455,-1205,3531,-152,5,-51
88158,1449,-1196,3514,-155,-2,-53
88160,1445,-1190,3495,-156,-6,-53
88162,1447,-1186,3469,-156,-9,-52
88164,1445,-1190,3452,-157,-5,-51
88166,1439,-1187,3451,-156,0,-52
88168,1437,-1188,3450,-155,5,-51
88170,1436,-1187,3461,-150,11,-51
88172,1441,-1188,3459,-147,17,-51
88174,1436,-1188,3463,-145,22,-52
88176,1438,-1184,3467,-143,27,-53
88178,1436,-1179,3472,-141,29,-54
88180,1439,-1185,3469,-140,30,-53
88182,1440,-1180,3474,-141,31,-53
88184,1443,-1180,3475,-143,28,-54
88186,1444,-1178,3464,-144,22,-55
88188,1448,-1183,3470,-145,17,-54
88190,1442,-1199,3472,-147,14,-53
88192,1442,-1194,3470,-150,13,-53
88194,1444,-1187,3454,-151,13,-53
88196,1443,-1190,3451,-150,15,-53
88198,1444,-1192,3455,-147,20,-54
88200,1447,-1199,3464,-146,23,-54
88202,1449,-1199,3467,-144,26,-54
88204,1461,-1202,3481,-142,29,-53
88206,1460,-1206,3487,-142,33,-56
88208,1450,-1196,3487,-139,37,-56
88210,1449,-1199,3485,-138,38,-57
88212,1450,-1191,3491,-138,39,-56
88214,1453,-1198,3510,-139,40,-54
88216,1448,-1201,3528,-141,36,-54
88218,1451,-1206,3530,-144,28,-52
88220,1454,-1201,3525,-147,22,-52
88222,1450,-1204,3519,-150,14,-52
88224,1447,-1201,3505,-151,9,-54
88226,1455,-1194,3502,-152,6,-56
88228,1462,-1197,3498,-152,7,-55
88230,1459,-1199,3492,-151,9,-53
88232,1461,-1202,3500,-149,13,-52
88234,1461,-1207,3509,-149,18,-52
88236,1458,-1207,3508,-148,19,-54
88238,1457,-1204,3504,-146,21,-54
88240,1457,-1199,3502,-147,21,-54
88242,1446,-1193,3509,-149,20,-55
88244,1447,-1195,3519,-150,19,-56
88246,1449,-1193,3514,-150,16,-55
88248,1446,-1193,3515,-151,13,-55
88250,1450,-1195,3495,-150,10,-55
88252,1447,-1196,3490,-151,6,-53
88254,1444,-1190,3480,-152,2,-53
88256,1445,-1196,3478,-155,-1,-52
88258,1441,-1190,3460,-154,-2,-53
88260,1443,-1179,3452,-154,1,-53
88262,1450,-1182,3438,-152,4,-52
88264,1450,-1189,3443,-152,7,-51
88266,1443,-1193,3451,-151,12,-52
88268,1438,-1190,3454,-147,17,-54
88270,1442,-1185,3446,-146,20,-56
88272,1441,-1191,3450,-144,22,-55
88274,1445,-1197,3446,-142,26,-54
88276,1440,-1185,3452,-142,30,-54
88278,1445,-1179,3464,-141,32,-55
88280,1450,-1190,3462,-141,32,-54
88282,1448,-1196,3471,-143,30,-55
88284,1442,-1189,3482,-143,27,-55
88286,1444,-1187,3482,-145,23,-57
88288,1449,-1194,3468,-145,20,-56
88290,1459,-1190,3470,-145,17,-52
88292,1454,-1181,3460,-145,18,-53
88294,1451,-1176,3459,-144,20,-55
88296,1450,-1184,3450,-144,25,-54
88298,1452,-1186,3464,-141,30,-53
88300,1459,-1188,3469,-139,34,-53
88302,1461,-1191,3486,-138,37,-54
88304,1464,-1189,3504,-140,38,-54
88306,1462,-1194,3509,-141,37,-53
88308,1449,-1202,3515,-142,34,-54
88310,1443,-1197,3505,-143,30,-55
88312,1441,-1203,3514,-142,26,-52
88314,1443,-1207,3515,-144,24,-50
88316,1440,-1202,3528,-146,22,-50
88318,1448,-1204,3524,-149,17,-51
88320,1454,-1197,3524,-149,14,-52
88322,1454,-1193,3518,-150,11,-51
88324,1455,-1199,3512,-153,7,-52
88326,1454,-1199,3512,-153,6,-54
88328,1456,-1199,3498,-152,7,-55
88330,1453,-1198,3491,-150,9,-53
88332,1448,-1199,3488,-150,14,-53
88334,1449,-1195,3494,-150,16,-54
88336,1452,-1185,3499,-149,16,-57
88338,1455,-1190,3479,-149,17,-56
88340,1453,-1197,3493,-149,15,-53
88342,1452,-1187,3496,-148,14,-53
88344,1449,-1182,3491,-149,13,-53
88346,1451,-1190,3490,-150,9,-52
88348,1445,-1199,3487,-150,10,-51
88350,1443,-1193,3481,-150,8,-51
88352,1445,-1188,3466,-152,6,-51
88354,1448,-1189,3468,-153,3,-52
88356,1447,-1198,3450,-152,4,-53
88358,1444,-1198,3445,-150,7,-54
88360,1450,-1189,3448,-148,11,-55
