t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
33098,1715,601,3480,-152,31,-57
33099,1714,601,3475,-153,32,-58
33101,1715,594,3480,-153,32,-58
33103,1718,593,3477,-152,32,-57
33105,1727,599,3484,-152,33,-57
33107,1724,604,3493,-152,31,-57
33109,1729,613,3490,-153,29,-57
33111,1734,613,3498,-152,26,-56
33113,1717,611,3496,-150,20,-56
33115,1715,609,3503,-147,17,-55
33117,1716,610,3502,-145,12,-54
33119,1719,613,3501,-144,9,-54
33121,1718,606,3498,-143,6,-54
33123,1718,605,3489,-143,6,-54
33125,1725,610,3485,-143,6,-53
33127,1719,609,3488,-144,6,-53
33129,1722,614,3480,-145,7,-54
33131,1716,612,3485,-145,8,-55
33133,1717,605,3476,-146,9,-54
33135,1710,606,3475,-148,11,-54
33137,1709,603,3463,-148,12,-55
33139,1707,606,3448,-149,13,-56
33141,1703,603,3448,-151,13,-55
33143,1709,604,3453,-150,13,-55
33145,1709,609,3458,-150,13,-57
33147,1707,618,3470,-149,14,-56
33149,1703,613,3474,-148,14,-55
33151,1698,609,3456,-147,13,-55
33153,1699,605,3445,-148,13,-55
33155,1704,598,3452,-147,12,-54
33157,1706,598,3448,-147,13,-54
33159,1706,606,3449,-147,14,-55
33161,1703,606,3447,-147,15,-55
33163,1695,603,3443,-148,17,-54
33165,1698,604,3440,-149,17,-54
33167,1700,599,3432,-149,20,-56
33169,1701,595,3440,-151,23,-55
33171,1697,594,3440,-152,26,-54
33173,1708,601,3448,-152,28,-55
33175,1717,606,3464,-153,31,-56
33177,1714,610,3471,-153,33,-57
33179,1710,605,3473,-154,32,-57
33181,1712,607,3480,-155,33,-57
33183,1723,605,3479,-153,33,-57
33185,1718,597,3476,-153,31,-57
33187,1713,594,3475,-152,29,-57
33189,1719,592,3476,-154,26,-58
33191,1720,597,3487,-153,25,-56
33193,1722,597,3497,-150,25,-56
33195,1721,598,3492,-149,23,-56
33197,1716,597,3480,-148,21,-55
33199,1715,606,3482,-146,19,-54
33201,1715,611,3478,-146,17,-54
33203,1717,605,3478,-148,16,-54
33205,1720,594,3483,-148,16,-54
33207,1712,589,3482,-150,17,-55
33209,1719,597,3487,-149,19,-56
33211,1723,611,3488,-150,19,-56
33213,1726,616,3478,-152,20,-56
33215,1717,610,3466,-151,21,-56
33217,1707,608,3470,-150,20,-56
33219,1715,606,3473,-149,17,-55
33221,1718,602,3468,-148,13,-53
33223,1718,607,3478,-148,10,-54
33225,1720,611,3478,-146,9,-54
33227,1718,608,3474,-146,8,-54
33229,1719,602,3470,-144,5,-54
33231,1716,595,3465,-142,3,-55
33233,1712,589,3458,-142,2,-55
33235,1701,591,3452,-142,3,-56
33237,1699,599,3451,-143,4,-56
33239,1703,605,3443,-144,6,-55
33241,1710,602,3444,-145,9,-56
33243,1712,603,3443,-146,12,-56
33245,1719,601,3443,-147,16,-57
33247,1727,601,3435,-148,19,-56
33249,1721,598,3442,-151,22,-55
