t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
132043,926,-4056,180,-153,19,-52
132044,927,-4070,176,-151,20,-53
132046,930,-4067,173,-150,21,-54
132048,926,-4052,182,-150,21,-56
132050,931,-4045,188,-148,22,-56
132052,937,-4052,185,-146,21,-56
132054,935,-4055,181,-146,20,-56
132056,935,-4052,187,-149,22,-55
132058,932,-4047,180,-149,21,-53
132060,935,-4052,191,-149,20,-53
132062,924,-4058,190,-149,19,-55
132064,931,-4052,191,-147,19,-56
132066,927,-4045,194,-147,19,-56
132068,922,-4052,197,-146,19,-56
132070,916,-4056,188,-146,20,-57
132072,921,-4052,184,-147,20,-55
132077,926,-4057,185,-148,20,-52
132077,926,-4057,185,-148,20,-52
132078,926,-4066,184,-143,21,-51
132080,926,-4052,164,-144,18,-53
132082,922,-4051,169,-146,19,-55
132084,937,-4057,178,-145,21,-55
132086,930,-4062,182,-143,20,-52
132088,929,-4067,185,-144,20,-53
132090,923,-4063,191,-149,20,-52
132092,923,-4057,200,-148,22,-52
132094,923,-4053,194,-148,23,-54
132096,922,-4059,182,-149,22,-55
132098,928,-4060,177,-148,21,-55
132100,925,-4057,176,-147,20,-54
132102,923,-4059,173,-145,20,-54
132104,926,-4065,193,-146,21,-53
132106,930,-4061,196,-147,22,-54
132108,928,-4060,178,-148,21,-53
132110,919,-4058,181,-146,19,-51
132112,922,-4064,180,-146,18,-51
132114,930,-4064,167,-149,18,-54
132116,932,-4061,173,-149,19,-56
132118,931,-4056,179,-149,19,-54
132120,933,-4056,181,-149,20,-53
132122,928,-4056,177,-149,21,-53
132124,921,-4053,176,-150,21,-53
132126,921,-4060,186,-150,20,-51
132128,931,-4070,174,-149,20,-53
132130,934,-4064,164,-150,21,-55
132132,939,-4051,161,-149,22,-56
132134,935,-4047,173,-149,20,-54
132136,933,-4054,184,-148,20,-53
132138,927,-4056,183,-149,20,-54
132140,923,-4059,187,-151,21,-53
132142,924,-4064,185,-152,20,-52
132144,926,-4067,180,-149,20,-52
132146,934,-4051,178,-148,20,-53
132148,935,-4045,184,-148,21,-54
132150,946,-4047,185,-146,22,-55
132152,941,-4048,186,-145,21,-54
132154,938,-4057,194,-147,22,-54
132156,933,-4055,189,-147,22,-53
132158,934,-4059,183,-148,23,-53
132160,928,-4059,189,-147,24,-53
132162,925,-4066,194,-147,22,-55
132164,928,-4058,185,-145,21,-55
132166,917,-4047,178,-144,22,-55
132168,918,-4049,166,-145,20,-55
132170,920,-4053,169,-142,21,-55
132172,921,-4059,173,-144,20,-54
132174,932,-4060,168,-145,18,-53
132176,934,-4056,165,-145,18,-55
132178,930,-4057,179,-143,19,-54
132180,927,-4053,187,-142,19,-55
132182,925,-4046,179,-143,18,-56
132184,926,-4042,181,-143,17,-54
132186,927,-4041,177,-142,17,-53
132188,929,-4039,179,-143,21,-54
132190,919,-4046,175,-146,22,-53
132192,918,-4048,179,-149,20,-54
132194,926,-4047,197,-146,20,-53
132196,925,-4052,189,-145,19,-53
132198,922,-4047,185,-146,20,-55
132200,933,-4046,180,-146,20,-55
132202,932,-4049,184,-146,20,-54
132204,930,-4052,188,-147,20,-54
132206,931,-4050,189,-150,22,-54
132208,924,-4052,189,-152,21,-55
132210,920,-4057,198,-150,20,-54
