t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid
0,2027,-462,3424,-355,-358,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
2,1975,-495,3440,-352,-361,-40,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
4,1979,-497,3453,-354,-358,-35,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
6,2031,-478,3424,-350,-362,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
8,2018,-472,3422,-352,-362,-39,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
10,2000,-480,3403,-341,-361,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
12,2025,-461,3428,-341,-363,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
14,2002,-463,3453,-351,-356,-40,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
16,1999,-469,3416,-348,-366,-33,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
18,1985,-497,3411,-347,-357,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
20,1995,-470,3453,-357,-364,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
22,2010,-483,3406,-350,-359,-31,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
24,2039,-493,3445,-348,-362,-37,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
26,1992,-466,3432,-352,-358,-31,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
28,2011,-499,3446,-348,-358,-38,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
30,1991,-487,3455,-353,-369,-34,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
32,1976,-495,3449,-343,-370,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
34,2013,-486,3448,-359,-365,-37,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
36,1973,-472,3406,-359,-363,-33,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
38,1982,-496,3453,-360,-360,-35,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
40,2023,-484,3444,-360,-361,-39,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
42,1993,-489,3458,-342,-358,-39,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
44,2013,-473,3440,-351,-366,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
46,2000,-500,3400,-360,-362,-31,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
48,1972,-473,3442,-358,-366,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
50,1980,-493,3401,-349,-367,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
52,2006,-484,3413,-348,-360,-34,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
54,1996,-468,3459,-357,-367,-38,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
56,2016,-478,3422,-348,-368,-33,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
58,1996,-486,3429,-359,-366,-37,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
60,1961,-471,3454,-348,-360,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
62,1964,-493,3441,-342,-356,-38,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
64,2035,-464,3415,-349,-367,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
66,2005,-491,3406,-360,-356,-32,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
68,2038,-474,3446,-350,-367,-35,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
70,1981,-463,3430,-347,-362,-39,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
72,1991,-491,3427,-355,-369,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
74,2012,-483,3425,-345,-366,-36,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
76,2029,-496,3451,-341,-363,-37,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
78,2009,-478,3407,-343,-357,-31,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
80,2011,-478,3421,-358,-356,-33,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
82,1986,-469,3439,-347,-362,-34,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
84,2016,-463,3416,-349,-364,-34,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
86,1995,-461,3430,-354,-362,-33,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
88,1977,-476,3428,-354,-365,-31,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
90,1988,-465,3404,-359,-356,-34,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
92,2019,-490,3432,-353,-358,-33,-111.6,37.06,-56.99,2582.65,1355.45,2718.38,true
