t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,calib_gx_bias_lsb,calib_gy_bias_lsb,calib_gz_bias_lsb,calib_g_T_x_lsb,calib_g_T_y_lsb,calib_g_T_z_lsb,calib_valid
309603,400,-1070,3684,-183,19,-52,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309604,400,-1070,3684,-183,19,-52,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309606,399,-1086,3700,-190,20,-51,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309608,399,-1103,3708,-195,20,-50,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309610,397,-1125,3708,-188,21,-50,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309612,402,-1150,3713,-175,19,-53,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309614,409,-1170,3720,-156,20,-55,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309616,417,-1182,3740,-132,18,-59,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309618,426,-1180,3761,-106,17,-62,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309620,430,-1175,3770,-85,19,-66,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309622,436,-1163,3782,-66,17,-70,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309624,442,-1150,3788,-51,16,-73,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309626,446,-1146,3793,-47,14,-74,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309628,444,-1145,3801,-52,12,-75,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309630,449,-1122,3810,-68,13,-76,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309632,458,-1100,3803,-93,15,-75,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309634,463,-1081,3796,-125,18,-71,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309636,460,-1081,3787,-157,20,-66,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309638,455,-1083,3773,-192,21,-59,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309640,453,-1093,3757,-225,22,-52,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309642,452,-1101,3739,-254,23,-45,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309644,454,-1113,3715,-279,22,-38,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
309646,456,-1128,3699,-295,23,-33,-144.9806671142578,20.93600082397461,-58.50266647338867,433.5666809082031,-1156.3800048828125,3721.55126953125,true
