t_ms,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw
0,1965,-496,3410,-363,-367,-41
2,1966,-495,3411,-362,-366,-40
4,1967,-494,3412,-361,-365,-39
6,1968,-493,3413,-360,-364,-38
8,1969,-492,3414,-359,-363,-37
10,1970,-491,3415,-358,-362,-41
12,1971,-490,3416,-357,-361,-40
14,1972,-489,3417,-356,-360,-39
16,1973,-488,3418,-355,-367,-38
18,1974,-487,3419,-354,-366,-37
20,1975,-486,3420,-363,-365,-41
22,1976,-485,3421,-362,-364,-40
24,1977,-484,3422,-361,-363,-39
26,1978,-483,3423,-360,-362,-38
28,1979,-482,3424,-359,-361,-37
30,1980,-481,3425,-358,-360,-41
32,1981,-480,3426,-357,-367,-40
34,1982,-479,3427,-356,-366,-39
36,1983,-478,3428,-355,-365,-38
38,1984,-477,3429,-354,-364,-37
40,1985,-496,3430,-363,-363,-41
42,1986,-495,3431,-362,-362,-40
44,1987,-494,3432,-361,-361,-39
46,1988,-493,3433,-360,-360,-38
48,1989,-492,3434,-359,-367,-37
50,1990,-491,3435,-358,-366,-41
52,1991,-490,3436,-357,-365,-40
54,1992,-489,3437,-356,-364,-39
56,1993,-488,3438,-355,-363,-38
58,1994,-487,3439,-354,-362,-37
60,1995,-486,3410,-363,-361,-41
62,1996,-485,3411,-362,-360,-40
64,1997,-484,3412,-361,-367,-39
66,1998,-483,3413,-360,-366,-38
68,1999,-482,3414,-359,-365,-37
70,2000,-481,3415,-358,-364,-41
72,2001,-480,3416,-357,-363,-40
74,2002,-479,3417,-356,-362,-39
76,2003,-478,3418,-355,-361,-38
78,2004,-477,3419,-354,-360,-37
80,2005,-496,3420,-363,-367,-41
82,2006,-495,3421,-362,-366,-40
84,2007,-494,3422,-361,-365,-39
86,2008,-493,3423,-360,-364,-38
88,2009,-492,3424,-359,-363,-37
90,2010,-491,3425,-358,-362,-41
92,2011,-490,3426,-357,-361,-40
94,2012,-489,3427,-356,-360,-39
96,2013,-488,3428,-355,-367,-38
98,2014,-487,3429,-354,-366,-37
100,1965,-486,3430,-363,-365,-41
102,1966,-485,3431,-362,-364,-40
104,1967,-484,3432,-361,-363,-39
106,1968,-483,3433,-360,-362,-38
108,1969,-482,3434,-359,-361,-37
110,1970,-481,3435,-358,-360,-41
112,1971,-480,3436,-357,-367,-40
114,1972,-479,3437,-356,-366,-39
116,1973,-478,3438,-355,-365,-38
118,1974,-477,3439,-354,-364,-37
120,1975,-496,3410,-363,-363,-41
122,1976,-495,3411,-362,-362,-40
124,1977,-494,3412,-361,-361,-39
126,1978,-493,3413,-360,-360,-38
128,1979,-492,3414,-359,-367,-37
130,1980,-491,3415,-358,-366,-41
132,1981,-490,3416,-357,-365,-40
134,1982,-489,3417,-356,-364,-39
136,1983,-488,3418,-355,-363,-38
138,1984,-487,3419,-354,-362,-37
140,1985,-486,3420,-363,-361,-41
142,1986,-485,3421,-362,-360,-40
144,1987,-484,3422,-361,-367,-39
146,1988,-483,3423,-360,-366,-38
148,1989,-482,3424,-359,-365,-37
150,1990,-481,3425,-358,-364,-41
152,1991,-480,3426,-357,-363,-40
154,1992,-479,3427,-356,-362,-39
156,1993,-478,3428,-355,-361,-38
158,1994,-477,3429,-354,-360,-37
160,1995,-496,3430,-363,-367,-41
162,1996,-495,3431,-362,-366,-40
164,1997,-494,3432,-361,-365,-39
166,1998,-493,3433,-360,-364,-38
168,1999,-492,3434,-359,-363,-37
170,2000,-491,3435,-358,-362,-41
172,2001,-490,3436,-357,-361,-40
174,2002,-489,3437,-356,-360,-39
176,2003,-488,3438,-355,-367,-38
178,2004,-487,3439,-354,-366,-37
180,2005,-486,3410,-363,-365,-41
182,2006,-485,3411,-362,-364,-40
184,2007,-484,3412,-361,-363,-39
186,2008,-483,3413,-360,-362,-38
188,2009,-482,3414,-359,-361,-37
190,2010,-481,3415,-358,-360,-41
192,2011,-480,3416,-357,-367,-40
194,2012,-479,3417,-356,-366,-39
196,2013,-478,3418,-355,-365,-38
198,2014,-477,3419,-354,-364,-37
200,1965,-496,3420,-363,-363,-41
202,1966,-495,3421,-362,-362,-40
204,1967,-494,3422,-361,-361,-39
206,1968,-493,3423,-360,-360,-38
208,1969,-492,3424,-359,-367,-37
210,1970,-491,3425,-358,-366,-41
212,1971,-490,3426,-357,-365,-40
214,1972,-489,3427,-356,-364,-39
216,1973,-488,3428,-355,-363,-38
218,1974,-487,3429,-354,-362,-37
220,1975,-486,3430,-363,-361,-41
222,1976,-485,3431,-362,-360,-40
224,1977,-484,3432,-361,-367,-39
226,1978,-483,3433,-360,-366,-38
228,1979,-482,3434,-359,-365,-37
230,1980,-481,3435,-358,-364,-41
232,1981,-480,3436,-357,-363,-40
234,1982,-479,3437,-356,-362,-39
236,1983,-478,3438,-355,-361,-38
238,1984,-477,3439,-354,-360,-37
